Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
(Publisher v Exchange)",Prospect / Remarket,Format
Investment,DBS Wealth Always On, $1.76 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Investment_Banking,DBS Wealth Always On, $41.02 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
KrisFlyer,DBS Wealth Always On, $2.00 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
OCBC Premier Banking,DBS Wealth Always On, $1.61 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
Preferred_Banking,DBS Wealth Always On, $911.29 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Premier_Banking,DBS Wealth Always On, $1.38 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Premium_Banking,DBS Wealth Always On, $0.77 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Priority_Banking,DBS Wealth Always On, $15.80 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Privilege Banking UOB,DBS Wealth Always On, $9.01 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
Privilege_Banking,DBS Wealth Always On, $11.56 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Product_Treasures,DBS Wealth Always On, $-   ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM
SCB Priority Banking,DBS Wealth Always On, $0.71 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
Singapore_Stock,DBS Wealth Always On, $36.18 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM
Standard Chartered Priority Banking,DBS Wealth Always On, $231.07 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM
