MCF Channel Grouping Path,Source/Medium Path,Conversions,Conversion Value
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),6,"SGD16,145.30"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),6,"SGD4,416.20"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Organic Search,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > google / organic,6,"SGD7,157.64"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Paid Search,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > google / cpc,6,"SGD6,122.41"
Display (impression) > Referral,dbm / cpm (impression) > moneydigest.sg / referral,6,"SGD6,827.70"
Display (impression) > Paid Search,dfa / cpm (impression) > bing / cpc,6,"SGD7,200.00"
Referral,skyscanner.jp / referral,6,"SGD4,779.30"
Referral > Referral,skyscanner.net / referral > skyscanner.net / referral,6,"SGD3,357.80"
Referral > Paid Search,skyscanner.com.sg / referral > google / cpc,6,"SGD4,282.70"
Organic Search > Direct > Direct > Display,google / organic > (direct) / (none) > (direct) / (none) > dfa / cpm,6,"SGD10,597.60"
Organic Search > Direct > Direct > Display > Direct,google / organic > (direct) / (none) > (direct) / (none) > dfa / cpm > (direct) / (none),6,"SGD6,184.11"
Organic Search > Display > Paid Search > Paid Search,google / organic > dfa / cpm > google / cpc > google / cpc,6,"SGD10,106.00"
Paid Search > (unavailable),bing / cpc > hellobarv2 / saa,5,"SGD5,942.90"
Paid Search > (unavailable),google / cpc > saa / banner,5,"SGD19,741.90"
Paid Search > (unavailable),google / cpc > hellobarv1 / saa,5,"SGD8,390.10"
Paid Search > Direct > Organic Search > Direct,google / cpc > (direct) / (none) > google / organic > (direct) / (none),5,"SGD5,415.50"
Paid Search > Paid Search > Direct > Direct > Paid Search,google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc,5,"SGD7,557.60"
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc,5,"SGD9,706.60"
Direct > Direct > (unavailable),(direct) / (none) > (direct) / (none) > saa / banner,5,"SGD5,897.59"
Direct > Direct > Direct > Direct > (unavailable) > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > hellobarv2 / saa > (direct) / (none),5,"SGD8,793.30"
Direct > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),5,"SGD8,618.80"
Direct > Display (impression) > Display (impression),(direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression),5,"SGD8,603.10"
Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,(direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),5,"SGD11,884.60"
Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,(direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),5,"SGD4,222.90"
Direct > Display > Display,(direct) / (none) > dfa / cpm > dfa / cpm,5,"SGD3,837.89"
Direct > Referral,(direct) / (none) > scripts.affiliatefuture.com / referral,5,"SGD6,273.80"
Direct > Organic Search,(direct) / (none) > yahoo / organic,5,"SGD6,981.30"
Display (impression) > Direct > Display,dbm / cpm (impression) > (direct) / (none) > dfa / cpm,5,"SGD2,612.10"
Display (impression) > Display (impression) > Direct > Direct > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),5,"SGD7,037.80"
Display (impression) > Display (impression) > Display (impression) > Paid Search,dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > google / cpc,5,"SGD12,468.86"
Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),5,"SGD5,747.90"
Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),5,"SGD10,772.80"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),5,"SGD9,558.80"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),5,"SGD4,701.30"
Display (impression) > Display (impression) > Organic Search > Direct > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),5,"SGD12,485.40"
Display (impression) > Paid Search > Direct,dbm / cpm (impression) > google / cpc > (direct) / (none),5,"SGD10,098.70"
Display (impression) > Organic Search > Display > Direct,dbm / cpm (impression) > google / organic > dfa / cpm > (direct) / (none),5,"SGD3,320.40"
Referral,qunar.com / referral,5,"SGD7,054.10"
Referral > Referral,skyscanner.com.sg / referral > skyscanner.com.sg / referral,5,"SGD3,286.10"
Organic Search > Direct > Direct > Display (impression) > Direct,google / organic > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none),5,"SGD3,899.20"
Organic Search > Direct > Direct > Paid Search,google / organic > (direct) / (none) > (direct) / (none) > google / cpc,5,"SGD10,808.80"
Organic Search > Direct > Display > Direct,google / organic > (direct) / (none) > dfa / cpm > (direct) / (none),5,"SGD4,019.30"
Organic Search > Direct > Referral,google / organic > (direct) / (none) > outlook.live.com / referral,5,"SGD4,852.70"
Organic Search > Display (impression),bing / organic > dbm / cpm (impression),5,"SGD4,262.40"
Organic Search > Display > Direct > Direct > Direct > Direct,google / organic > dfa / cpm > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),5,"SGD12,532.20"
Organic Search > Display > Direct > Direct > Display,google / organic > dfa / cpm > (direct) / (none) > (direct) / (none) > dfa / cpm,5,"SGD5,837.40"
Paid Search > Direct > Paid Search > Paid Search > Paid Search,google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc,4,"SGD3,699.59"
Paid Search > Direct > Organic Search > Display,google / cpc > (direct) / (none) > google / organic > dfa / cpm,4,"SGD3,542.20"
Paid Search > Direct > Organic Search > Display > Display > Direct,google / cpc > (direct) / (none) > google / organic > dfa / cpm > dfa / cpm > (direct) / (none),4,"SGD8,292.72"
Paid Search > Display (impression) > Direct,google / cpc > dfa / cpm (impression) > (direct) / (none),4,"SGD12,297.00"
Direct > (unavailable) > Direct > Direct > Direct,(direct) / (none) > hellobarv1 / saa > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD7,140.90"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,SGD923.20
Direct > Direct > Direct > Display (impression) > Display (impression) > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),4,"SGD3,446.20"
Direct > Direct > Direct > Organic Search,(direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic,4,"SGD2,398.00"
Direct > Direct > Display (impression),(direct) / (none) > (direct) / (none) > dfa / cpm (impression),4,"SGD6,375.00"
Direct > Direct > Display (impression) > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD7,063.30"
Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Direct > Direct,(direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),4,"SGD1,847.00"
Direct > Direct > Organic Search,(direct) / (none) > (direct) / (none) > bing / organic,4,"SGD3,775.50"
Direct > Display (impression),(direct) / (none) > dbm / cpm (impression),4,"SGD18,969.10"
Direct > Display (impression) > Direct > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD2,095.00"
Direct > Display (impression) > Display (impression),(direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression),4,"SGD3,261.80"
Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,(direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),4,"SGD5,988.80"
Direct > Referral,(direct) / (none) > outlook.live.com / referral,4,"SGD2,871.90"
Direct > Referral > Direct,(direct) / (none) > skyscanner.com.sg / referral > (direct) / (none),4,"SGD2,309.90"
Direct > Organic Search > Direct > Direct > Direct > Direct,(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD3,132.60"
Direct > Organic Search > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD10,007.20"
Direct > Organic Search > Display > Display > Display > Display,(direct) / (none) > google / organic > dfa / cpm > dfa / cpm > dfa / cpm > dfa / cpm,4,"SGD11,469.20"
Display (impression) > Direct > Direct > Direct > Direct > Direct,dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD3,527.10"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),4,"SGD8,670.50"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD5,390.90"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),4,"SGD3,098.40"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),4,"SGD4,246.10"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),4,"SGD5,460.25"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Paid Search > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > google / cpc > (direct) / (none),4,"SGD2,639.80"
